application_id,user_id,application_date,loan_amount,tenure_months,status
269,329,2026-03-21,50000,24,KYC Pending
270,3734,2026-06-29,100000,36,Rejected
271,1244,2026-04-08,50000,36,KYC Pending
272,3216,2026-08-17,250000,12,KYC Pending
273,797,2026-02-01,150000,36,KYC Pending
274,1340,2026-05-04,100000,60,KYC Pending
275,2683,2026-07-18,200000,36,Incomplete
276,1441,2026-05-28,1000000,48,Rejected
277,3062,2026-06-21,400000,24,KYC Pending
278,2507,2026-05-14,200000,12,Rejected
279,2145,2026-07-22,300000,48,Disbursed
280,4839,2026-05-05,750000,36,Disbursed
281,3627,2026-04-01,1000000,12,Rejected
282,1791,2026-07-28,200000,60,Approved
283,1647,2026-05-22,100000,48,KYC Pending
284,4871,2026-06-24,750000,36,KYC Pending
285,3988,2026-08-31,50000,36,Rejected
286,1781,2026-06-20,150000,48,Rejected
287,633,2026-04-18,50000,60,Disbursed
288,4660,2026-05-12,50000,60,KYC Pending
289,1726,2026-06-25,1000000,60,Rejected
290,2222,2026-03-01,400000,48,Disbursed
291,2137,2026-08-20,500000,12,Rejected
292,1529,2026-07-18,250000,24,Disbursed
293,4383,2026-03-12,300000,24,Disbursed
294,2650,2026-02-25,1000000,24,Disbursed
295,4944,2026-03-07,300000,36,Approved
296,422,2026-08-31,1000000,60,Disbursed
297,1984,2026-02-13,50000,24,Disbursed
298,1442,2026-06-09,1000000,24,Disbursed
299,3377,2026-08-24,200000,36,Disbursed
300,2218,2026-05-02,50000,24,Incomplete
301,3041,2026-06-03,300000,48,Rejected
302,4279,2026-07-22,1000000,12,Rejected
303,2002,2026-05-17,300000,12,KYC Pending
304,608,2026-01-14,200000,60,KYC Pending
305,1058,2026-08-21,1000000,12,Disbursed
306,1007,2026-04-17,250000,24,Disbursed
307,349,2026-05-30,200000,48,KYC Pending
308,4509,2026-03-07,750000,12,Rejected
309,20,2026-08-02,1000000,24,Approved
310,663,2026-08-03,100000,12,Rejected
311,3812,2026-06-23,1000000,24,Disbursed
312,394,2026-05-25,750000,12,Incomplete
313,3611,2026-05-03,100000,36,Incomplete
314,4246,2026-08-23,200000,24,Disbursed
315,2902,2026-04-09,500000,12,Disbursed
316,2754,2026-02-07,300000,48,Disbursed
317,2597,2026-04-29,250000,36,Approved
318,557,2026-05-24,1000000,36,KYC Pending
319,945,2026-03-11,50000,48,Rejected
320,3820,2026-05-21,50000,36,Incomplete
321,3909,2026-06-30,100000,12,Incomplete
322,3114,2026-03-31,400000,36,Disbursed
323,1305,2026-05-17,500000,60,Disbursed
324,470,2026-02-16,50000,12,Rejected
325,4692,2026-04-06,1000000,36,Disbursed
326,1516,2026-07-15,50000,36,Disbursed
327,4193,2026-02-17,200000,24,KYC Pending
328,2660,2026-04-23,300000,24,Incomplete
329,229,2026-06-01,50000,24,Disbursed
330,68,2026-07-28,300000,24,Disbursed
331,4099,2026-07-05,150000,36,KYC Pending
332,4368,2026-06-26,750000,36,Incomplete
333,2915,2026-07-16,200000,60,Approved
334,2027,2026-04-23,250000,60,KYC Pending
335,4902,2026-07-25,500000,12,Rejected
336,993,2026-02-19,500000,60,Incomplete
337,1537,2026-01-26,400000,24,Rejected
338,235,2026-04-03,250000,48,Disbursed
339,3006,2026-06-10,200000,36,Disbursed
340,4088,2026-05-09,50000,36,Incomplete
341,3072,2026-07-14,50000,12,Disbursed
342,2653,2026-08-02,200000,60,Rejected
343,746,2026-01-18,50000,60,Rejected
344,2134,2026-08-09,1000000,60,Approved
345,1490,2026-07-11,50000,36,Rejected
346,2693,2026-03-24,400000,36,Rejected
347,955,2026-06-23,750000,24,Rejected
348,1767,2026-02-02,500000,48,KYC Pending
349,3195,2026-02-14,200000,48,Approved
350,568,2026-02-24,1000000,12,Disbursed
351,2971,2026-05-06,150000,36,Incomplete
352,448,2026-01-24,400000,48,Disbursed
353,4533,2026-02-13,150000,60,Rejected
354,4966,2026-03-24,400000,60,Disbursed
355,4861,2026-06-07,750000,48,Rejected
356,4860,2026-05-05,150000,48,Incomplete
357,3525,2026-05-26,150000,36,Rejected
358,2327,2026-06-25,500000,24,Disbursed
359,2657,2026-01-20,1000000,36,Rejected
360,221,2026-07-09,200000,60,Approved
361,2823,2026-06-24,500000,36,Rejected
362,388,2026-03-31,50000,24,Rejected
363,2950,2026-01-29,100000,24,Rejected
364,884,2026-06-09,50000,36,Disbursed
365,2274,2026-04-05,50000,48,Approved
366,2483,2026-05-21,750000,36,Rejected
367,1479,2026-02-12,250000,24,Disbursed
368,4013,2026-04-01,100000,24,Approved
369,1957,2026-05-22,750000,12,Disbursed
370,1560,2026-07-27,500000,24,Approved
371,1137,2026-05-25,250000,24,Approved
372,3463,2026-01-23,750000,12,Rejected
373,4309,2026-06-11,1000000,48,Rejected
374,2783,2026-03-05,300000,36,Incomplete
375,4730,2026-05-03,100000,48,Disbursed
376,1694,2026-08-05,100000,48,Disbursed
377,4470,2026-08-16,50000,60,Disbursed
378,4190,2026-07-22,150000,24,Incomplete
379,2020,2026-05-26,300000,60,Incomplete
380,2817,2026-04-01,500000,36,Incomplete
381,2498,2026-02-11,250000,48,Incomplete
382,605,2026-06-10,200000,60,Rejected
383,2162,2026-07-15,300000,60,Disbursed
384,3770,2026-08-14,750000,60,KYC Pending
385,1039,2026-05-03,750000,12,Disbursed
386,161,2026-03-27,300000,36,Disbursed
387,1348,2026-02-27,200000,48,Disbursed
388,1263,2026-05-02,100000,48,KYC Pending
389,447,2026-08-24,500000,12,Disbursed
390,2269,2026-07-17,50000,60,Rejected
391,838,2026-04-25,1000000,60,Rejected
392,2600,2026-06-17,1000000,60,Rejected
393,3647,2026-01-09,200000,24,KYC Pending
394,4843,2026-06-22,300000,24,KYC Pending
395,4370,2026-05-05,400000,60,Disbursed
396,647,2026-02-23,500000,24,Disbursed
397,1300,2026-03-25,50000,48,Disbursed
398,3406,2026-04-17,1000000,12,Disbursed
399,181,2026-04-01,500000,60,Approved
400,339,2026-06-15,300000,48,Rejected
401,1272,2026-05-18,250000,12,Incomplete
402,2727,2026-01-16,50000,48,Disbursed
403,1899,2026-08-21,50000,48,Rejected
404,4461,2026-08-27,300000,36,Incomplete
405,4199,2026-07-30,1000000,60,Rejected
406,3109,2026-02-26,100000,24,Disbursed
407,2487,2026-03-27,150000,36,KYC Pending
408,608,2026-01-18,250000,48,KYC Pending
409,2781,2026-06-16,200000,36,KYC Pending
410,4363,2026-05-19,150000,12,Rejected
411,3885,2026-03-23,300000,60,Disbursed
412,1922,2026-03-07,500000,12,Approved
413,3082,2026-03-31,200000,12,Approved
414,3549,2026-07-05,300000,36,Disbursed
415,4787,2026-06-06,250000,24,KYC Pending
416,4790,2026-02-16,1000000,60,Approved
417,1844,2026-04-01,1000000,48,Incomplete
418,3841,2026-04-12,400000,60,Incomplete
419,4263,2026-06-29,150000,12,Approved
420,4824,2026-08-24,50000,12,Disbursed
421,4265,2026-04-11,400000,24,Approved
422,2771,2026-03-15,1000000,24,Disbursed
423,3756,2026-07-13,750000,24,Disbursed
424,3197,2026-06-04,750000,48,Incomplete
425,4135,2026-07-22,50000,48,KYC Pending
426,2180,2026-02-05,100000,24,Approved
427,1808,2026-08-21,400000,12,Approved
428,3922,2026-06-24,300000,48,Rejected
429,4145,2026-06-21,50000,48,Approved
430,2335,2026-06-01,150000,60,Disbursed
431,3706,2026-05-31,100000,48,Approved
432,1728,2026-07-10,300000,48,Approved
433,4701,2026-02-09,300000,12,KYC Pending
434,1758,2026-04-11,250000,24,Approved
435,3609,2026-01-22,1000000,60,Disbursed
436,2915,2026-07-17,400000,48,Rejected
437,1808,2026-07-24,500000,36,KYC Pending
438,2231,2026-03-21,300000,48,Disbursed
439,1396,2026-03-18,50000,48,Disbursed
440,1807,2026-07-11,500000,24,Incomplete
441,4045,2026-02-08,1000000,24,Approved
442,4609,2026-03-04,250000,48,Approved
443,2798,2026-07-06,250000,24,Disbursed
444,964,2026-02-07,500000,36,Disbursed
445,583,2026-06-11,1000000,60,Rejected
446,4597,2026-05-10,300000,48,Rejected
447,2847,2026-07-03,250000,60,Approved
448,157,2026-05-19,750000,48,Disbursed
449,1903,2026-06-23,300000,24,Incomplete
450,4340,2026-06-19,100000,12,KYC Pending
451,329,2026-03-29,300000,12,KYC Pending
452,2951,2026-03-10,750000,36,Disbursed
453,1081,2026-03-30,200000,36,Rejected
454,2873,2026-07-17,400000,36,Disbursed
455,1218,2026-05-19,500000,60,KYC Pending
456,453,2026-06-25,500000,36,Approved
457,4535,2026-08-05,750000,36,Incomplete
458,3363,2026-03-01,100000,36,Rejected
459,1069,2026-06-29,150000,60,Disbursed
460,1128,2026-04-12,250000,36,Approved
461,4189,2026-02-17,1000000,24,Incomplete
462,2562,2026-04-17,300000,60,Rejected
463,3654,2026-04-26,200000,36,Rejected
464,1493,2026-06-06,250000,36,Rejected
465,3914,2026-02-02,750000,48,KYC Pending
466,4058,2026-03-15,500000,12,Rejected
467,2385,2026-04-25,400000,12,Approved
468,1270,2026-06-29,500000,12,Rejected
469,4202,2026-04-11,400000,24,Disbursed
470,2483,2026-06-06,50000,48,Disbursed
471,4994,2026-07-15,100000,60,Approved
472,4915,2026-07-28,750000,60,KYC Pending
473,2609,2026-07-24,250000,48,Approved
474,1860,2026-06-10,250000,48,Rejected
475,2594,2026-02-28,1000000,60,Approved
476,2932,2026-06-14,400000,48,Incomplete
477,4816,2026-04-09,500000,48,Disbursed
478,4385,2026-07-10,150000,12,Approved
479,4923,2026-01-04,400000,24,Rejected
480,3214,2026-07-08,300000,48,Incomplete
481,730,2026-03-29,200000,24,Disbursed
482,3272,2026-04-19,200000,12,Rejected
483,3720,2026-03-16,50000,36,KYC Pending
484,3156,2026-04-15,300000,36,Rejected
485,410,2026-04-18,500000,12,KYC Pending
486,859,2026-06-23,100000,36,Approved
487,2213,2026-08-03,400000,60,Incomplete
488,4378,2026-03-27,750000,36,Rejected
489,1937,2026-07-24,150000,36,Approved
490,2161,2026-06-07,200000,60,KYC Pending
491,231,2026-02-28,250000,12,Approved
492,2812,2026-06-08,200000,24,Disbursed
493,1934,2026-08-20,1000000,12,Rejected
494,1564,2026-03-01,200000,24,Incomplete
495,1444,2026-04-02,300000,48,Rejected
496,3498,2026-03-24,300000,48,Disbursed
497,3862,2026-06-22,50000,36,Approved
498,4356,2026-04-15,100000,60,Rejected
499,4784,2026-06-30,300000,24,KYC Pending
500,2009,2026-04-09,750000,24,Rejected
501,1916,2026-06-30,150000,12,Disbursed
502,2743,2026-06-06,500000,48,Incomplete
503,4429,2026-07-25,200000,12,Disbursed
504,2518,2026-08-02,150000,36,Approved
505,2949,2026-02-01,1000000,36,KYC Pending
506,4469,2026-05-25,300000,24,Rejected
507,972,2026-05-08,1000000,36,KYC Pending
508,1805,2026-02-27,250000,48,KYC Pending
509,3393,2026-06-29,200000,36,Incomplete
510,665,2026-07-01,750000,36,Disbursed
511,1399,2026-07-04,100000,24,KYC Pending
512,4211,2026-08-31,200000,60,Disbursed
513,4463,2026-07-08,750000,12,KYC Pending
514,4540,2026-04-06,200000,12,Disbursed
515,2922,2026-07-28,100000,48,Rejected
516,1489,2026-04-03,100000,48,Disbursed
517,1093,2026-03-10,100000,24,Disbursed
518,4579,2026-07-03,250000,60,Disbursed
519,1438,2026-03-24,200000,12,Rejected
520,2534,2026-02-13,750000,12,Incomplete
521,3380,2026-08-23,50000,36,KYC Pending
522,4341,2026-01-02,200000,60,Rejected
523,2171,2026-01-13,50000,36,Rejected
524,2308,2026-07-04,200000,24,Disbursed
525,3811,2026-02-21,50000,60,Rejected
526,1768,2026-08-21,300000,60,Disbursed
527,3096,2026-01-09,1000000,48,KYC Pending
528,786,2026-08-21,150000,36,Approved
529,775,2026-06-15,50000,24,Disbursed
530,704,2026-08-30,200000,24,Disbursed
531,4809,2026-05-28,400000,48,Disbursed
532,4495,2026-04-10,500000,48,Approved
533,4797,2026-06-19,250000,12,Disbursed
534,982,2026-02-08,400000,12,Disbursed
535,1612,2026-02-11,250000,48,Approved
536,1681,2026-03-29,500000,48,Rejected
537,3645,2026-03-09,250000,36,Rejected
538,1120,2026-02-08,100000,60,Incomplete
539,3409,2026-05-01,500000,24,KYC Pending
540,4484,2026-07-30,150000,12,Disbursed
541,1294,2026-04-25,300000,48,Disbursed
542,4625,2026-08-31,250000,12,Rejected
543,4426,2026-04-13,500000,12,KYC Pending
544,1580,2026-08-12,1000000,36,Approved
545,439,2026-06-07,1000000,36,Rejected
546,4746,2026-08-06,500000,36,Rejected
547,654,2026-07-16,200000,36,Disbursed
548,4418,2026-05-03,750000,24,Rejected
549,1605,2026-06-12,50000,12,KYC Pending
550,2975,2026-03-16,150000,60,Rejected
551,2981,2026-08-03,50000,36,Approved
552,2802,2026-06-30,300000,36,Disbursed
553,3254,2026-06-05,500000,60,KYC Pending
554,4201,2026-08-01,300000,48,Disbursed
555,190,2026-06-24,500000,12,Disbursed
556,2918,2026-04-23,250000,36,KYC Pending
557,4228,2026-02-21,200000,12,Rejected
558,4658,2026-08-20,200000,60,KYC Pending
559,4076,2026-06-15,200000,48,Disbursed
560,495,2026-07-05,300000,24,Incomplete
561,1051,2026-01-20,100000,60,Incomplete
562,338,2026-02-07,400000,48,Rejected
563,3294,2026-01-27,750000,48,Rejected
564,3296,2026-04-10,300000,48,Rejected
565,3685,2026-03-25,50000,24,Disbursed
566,2164,2026-07-19,400000,60,Disbursed
567,4982,2026-05-26,500000,36,Disbursed
568,1723,2026-03-25,300000,48,Rejected
569,3152,2026-06-18,150000,60,Incomplete
570,2856,2026-03-21,500000,48,Rejected
571,1365,2026-03-14,50000,24,Rejected
572,4897,2026-06-11,250000,36,Approved
573,1978,2026-06-04,250000,12,Disbursed
574,4813,2026-02-12,150000,36,Rejected
575,1896,2026-07-13,400000,48,Approved
576,624,2026-04-30,400000,24,Disbursed
577,3355,2026-06-09,200000,24,Disbursed
578,390,2026-06-16,250000,24,Incomplete
579,1404,2026-06-21,100000,60,Disbursed
580,4464,2026-05-12,500000,24,Disbursed
581,2434,2026-04-22,400000,36,Disbursed
582,469,2026-03-21,150000,48,Disbursed
583,477,2026-04-29,150000,60,Rejected
584,492,2026-03-23,500000,60,Disbursed
585,1191,2026-05-24,300000,12,Disbursed
586,350,2026-06-26,500000,24,KYC Pending
587,332,2026-04-05,1000000,60,Rejected
588,810,2026-06-14,200000,60,Disbursed
589,3120,2026-05-27,250000,24,Incomplete
590,2430,2026-01-28,1000000,60,Rejected
591,4566,2026-07-31,250000,48,Disbursed
592,2860,2026-02-24,150000,48,Disbursed
593,2087,2026-06-15,150000,24,Disbursed
594,1862,2026-08-11,50000,36,KYC Pending
595,475,2026-02-10,150000,48,Rejected
596,3824,2026-04-08,200000,48,Rejected
597,3573,2026-02-18,50000,60,Rejected
598,3688,2026-07-11,100000,12,Approved
599,1976,2026-04-30,500000,24,KYC Pending
600,2376,2026-08-22,300000,24,Rejected
601,3253,2026-01-08,750000,24,Approved
602,3290,2026-07-04,750000,24,Disbursed
603,88,2026-05-27,150000,24,Disbursed
604,2226,2026-05-23,400000,60,Incomplete
605,3391,2026-03-23,100000,36,Disbursed
606,3044,2026-01-19,400000,48,Disbursed
607,1122,2026-08-31,100000,48,Rejected
608,3650,2026-03-25,400000,36,Rejected
609,185,2026-03-12,50000,12,Disbursed
610,1608,2026-06-25,400000,12,Rejected
611,3784,2026-07-12,150000,60,Disbursed
612,2327,2026-07-09,100000,60,Disbursed
613,667,2026-03-22,300000,12,Rejected
614,4552,2026-03-13,400000,60,Disbursed
615,3796,2026-02-16,150000,60,Disbursed
616,3134,2026-01-08,200000,36,Approved
617,3370,2026-03-13,500000,12,Rejected
618,177,2026-02-18,750000,12,KYC Pending
619,2524,2026-05-05,50000,24,KYC Pending
